allergy_id,customer_id
2,25049
2,20754
2,823
2,18708
2,3731
2,14614
2,9819
2,15877
2,17509
2,20549
2,20609
2,13621
2,14283
2,25180
2,1967
2,18896
2,18191
2,14319
2,20326
2,12667
2,11513
2,11384
2,21272
2,6887
2,5012
2,14693
2,16719
2,26081
2,2386
2,9478
2,19381
2,27987
2,7590
2,14342
2,19124
2,9575
2,25801
2,17199
2,27196
2,17621
2,23259
2,7088
2,14368
2,9355
2,192
2,17764
2,16768
2,2068
2,3689
2,26299
2,13001
2,600
2,15165
2,19523
2,14843
2,12186
2,29732
2,9641
2,28402
2,24539
2,23643
2,26854
2,9426
2,18996
2,27016
2,24859
2,23900
2,13811
2,12269
2,26070
2,28450
2,9910
2,7480
2,23351
2,8659
2,2490
2,16865
2,23036
2,26429
2,55
2,1618
2,1990
2,13483
2,10305
2,26434
2,27997
2,20249
2,5757
2,12981
2,4945
2,7668
2,15767
2,18117
2,28157
2,11647
2,1793
2,11658
2,22599
2,11028
2,5108
2,19938
2,3077
2,21898
2,22190
2,24584
2,1935
2,10606
2,10492
2,25438
2,10685
2,3503
2,22559
2,26341
2,22370
2,8699
2,24091
2,21834
2,6652
2,5786
2,17170
2,21335
2,4973
2,23004
2,13371
2,29926
2,14306
2,11101
2,25072
2,29587
2,13551
2,966
2,4187
2,8919
2,29263
2,24109
2,14768
2,28345
2,13990
2,20903
2,754
2,16995
2,5312
2,665
2,5922
2,26467
2,15512
2,26680
2,7503
2,4708
2,16840
2,4823
2,15379
2,11077
2,19831
2,300
2,16226
2,9354
2,13471
2,22282
2,2894
2,28885
2,2135
2,1886
2,27830
2,900
2,18050
2,123
2,2833
2,3768
2,20209
2,1677
2,27579
2,799
2,24204
2,16217
2,8179
2,3619
2,14703
2,15923
2,6775
2,29908
2,13066
2,5567
2,4495
2,777
2,20950
2,26705
2,29547
2,2027
2,20850
2,17712
2,5131
2,13640
2,8798
2,10821
2,18128
2,22617
2,22531
2,26660
2,2272
2,4735
2,10537
2,8543
2,13125
2,28330
2,19641
2,5086
2,24466
2,17832
2,10583
2,21696
2,4593
2,10456
2,27201
2,14795
2,9890
2,17818
2,20374
2,8538
2,344
2,10907
2,8716
2,2302
2,28733
2,12078
2,21576
2,17225
2,8374
2,24592
2,3072
2,1605
2,27745
2,9678
2,4233
2,19408
2,15930
2,20919
2,5334
2,2537
2,733
2,572
2,7833
2,19058
2,16588
2,2703
2,20430
2,14153
2,4843
2,26190
2,1776
2,28694
2,11857
2,23946
2,4037
2,20687
2,4202
2,6551
2,12082
2,11495
2,28108
2,18029
2,20566
2,17974
2,20514
2,23620
2,11482
2,18392
2,25035
2,21109
2,12752
2,16287
2,7535
2,26059
2,25855
2,17020
2,28004
2,28135
2,14036
2,11716
2,12311
2,6812
2,19639
2,8143
2,4949
2,15960
2,14395
2,3233
2,27832
2,21466
2,8544
2,23987
2,2539
2,23143
2,26318
2,15468
2,9723
2,10246
2,22944
2,29465
2,22070
2,3317
2,15966
2,14384
2,17833
2,8732
2,4257
2,4378
2,3284
2,24279
2,23882
2,13660
2,15382
2,23960
2,5715
2,105
2,25373
2,12479
2,14396
2,19141
2,10141
2,21007
2,8553
2,15617
2,13766
2,18066
2,18783
2,24026
2,6188
2,5216
2,19367
2,22271
2,29599
2,347
2,18051
2,12740
2,3094
2,13931
2,9327
2,20857
2,16548
2,27132
2,6061
2,6926
2,10544
2,28490
2,20081
2,28781
2,27715
2,21650
2,1516
2,29793
2,21107
2,15983
2,14781
2,14783
2,25572
2,775
2,12643
2,22999
2,274
2,12621
2,2047
2,19063
2,8825
2,6259
2,27339
2,18551
2,6879
2,4932
2,24882
2,2266
2,1400
2,5837
2,26321
2,20538
2,13734
2,30103
2,9015
2,13478
2,19859
2,15589
2,2157
2,18206
2,22697
2,9811
2,26545
2,2777
2,2213
2,13253
2,2687
2,8537
2,503
2,25344
2,13813
2,7151
2,16627
2,8827
2,23720
2,8409
2,19024
2,26289
2,7472
2,27198
2,21775
2,20394
2,14258
2,18804
2,8670
2,12087
2,27940
2,28360
2,26479
2,17709
2,9468
2,29006
2,8355
2,8914
2,1728
2,23266
2,11602
2,17851
2,14275
2,857
2,19568
2,15679
2,18022
2,14609
2,3942
2,4683
2,27165
2,6717
2,3556
2,7664
2,26862
2,26698
2,24716
2,4400
2,13603
2,7361
2,28572
2,17232
2,11512
2,13903
2,7688
2,28607
2,10137
2,8055
2,7621
2,23740
2,7661
2,396
2,2204
2,984
2,13419
2,908
2,8903
2,21627
2,23034
2,15363
2,6861
2,7409
2,12900
2,12221
2,5123
2,15738
2,7185
2,23944
2,27388
2,27662
2,2566
2,27661
2,23947
2,3767
2,12024
2,21231
2,26136
2,24445
2,17522
2,18630
2,29898
2,10217
2,23197
2,8020
2,23468
2,14406
2,4208
2,15081
2,28003
2,7255
2,3327
2,4641
2,21161
2,3337
2,6920
2,11714
2,20747
2,24842
2,14486
2,783
2,28313
2,5963
2,9456
2,22681
2,28761
2,12813
2,4122
2,28119
2,10086
2,475
2,10056
2,23897
2,2355
2,18233
2,24491
2,5719
2,5421
2,8552
2,30104
2,17821
2,15258
2,25887
2,1116
2,12865
2,3116
2,12648
2,8291
2,2245
2,12308
2,7357
2,1509
2,5951
2,8714
2,1295
2,24626
2,12098
2,17742
2,19687
2,26489
2,21735
2,7428
2,10896
2,3038
2,29327
2,21684
2,8467
2,10160
2,5689
2,29935
2,29723
2,16999
2,16305
2,5660
2,5137
2,11047
2,11767
2,20323
2,2556
2,3583
2,29767
2,7467
2,7663
2,28467
2,21342
2,15630
2,2655
2,28249
2,18060
2,9594
2,15054
2,6642
2,22636
2,8886
2,11826
2,10233
2,11999
2,19961
2,28361
2,20887
2,22205
2,9135
2,29737
2,7765
2,5364
2,4226
2,19284
2,16578
2,9322
2,15126
2,22
2,18579
2,24707
2,4182
2,21810
2,18975
2,19000
2,3402
2,17427
2,2525
2,11736
2,16477
2,1184
2,18158
2,28860
2,30064
2,21792
2,17607
2,10972
2,11975
2,11933
2,4250
2,3271
2,9601
2,14598
2,20040
2,23861
2,18774
2,15522
2,19345
2,20237
2,18618
2,18472
2,23042
2,13815
2,6413
2,6283
2,4338
2,25139
2,18153
2,24149
2,19830
2,14502
2,23653
2,20159
2,1957
2,18174
2,13378
2,5558
2,26118
2,25250
2,14681
2,12775
2,54
2,17415
2,21122
2,1512
2,19312
2,10050
2,1534
2,11674
2,17308
2,27709
2,9975
2,16935
2,18093
2,24342
2,19473
2,3500
2,9496
2,19567
2,29782
2,6255
